alphabetic_country_rank,name,url,capital,languages,largest_religion,area_total,population,gdp_nominal_total,gdp_nominal_per_capita,currency,time_zone,observes_dst,calling_code,flag_path,anthem_path,duck_pop_rank,continent,alcohol_consumption,alcohol_consumption_ranked,Total_borders_km,Num_borders,Neighbors,flag_colours
11,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,Baku,Azerbaijani,97.3% Islam 2.6% Christianity <0.1% other religion <0.1% unaffiliated,"86,600 km²",10.4 million,,,₼ (AZN),UTC +4,0,+994,countries/Azerbaijan_flag.png,countries/Azerbaijan_anthem.ogg,,Asia,4.16,70.0,"2,013",5.0,Armenia (6): 787 km (489 mi); Georgia: 322 km (200 mi); Iran (2): 432 km (268 mi); Russia: 284 km (176 mi); Turkey: 9 km (5.6 mi),"Light Blue, Green, Red"
12,Bahrain,https://en.wikipedia.org/wiki/Bahrain,Manama,Arabic,74.0% Islam ( official ) 26.0% non-Muslim,786.8 km²,1.5 million,,,(BHD),UTC +3,0,+973,countries/Bahrain_flag.png,countries/Bahrain_anthem.ogg,,Asia,0.0,160.0,0.196,1.0,Saudi Arabia: 0.196 km (0.122 mi),"Red, White"
13,Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,Dhaka,Bengali,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"148,460 km²",173.6 million,,,৳ (BDT),UTC +6,0,+880,countries/Bangladesh_flag.png,countries/Bangladesh_anthem.oga,3.0,Asia,0.0,154.0,"4,246",2.0,"India (2), including Dahagram-Angarpota: 4,053 km (2,518 mi); Myanmar: 193 km (120 mi)","Red, Green"
14,Barbados,https://en.wikipedia.org/wiki/Barbados,Bridgetown,English,75.6% Christianity 20.6% No religion 2.0% Baháʼí Faith 1.1% Hinduism 0.7% others,439 km²,"300,000",,,$ (BBD),UTC -4,0,+1,countries/Barbados_flag.png,countries/Barbados_anthem.ogg,,North America,8.37,35.0,0,0.0,,"Blue, Black, Gold"
15,Belarus,https://en.wikipedia.org/wiki/Belarus,Minsk,Belarusian Russian a,91.0% Christianity 83.3% Eastern Orthodoxy 7.7% other Christian 7.8% no religion 1.2% other,"207,600 km²",9.1 million,,,(BYN),UTC +3,0,+375,countries/Belarus_flag.png,countries/Belarus_anthem.ogg,29.0,Europe,8.14,39.0,"2,900",5.0,Latvia: 141 km (88 mi); Lithuania: 502 km (312 mi); Poland: 407 km (253 mi); Russia (2): 959 km (596 mi); Ukraine: 891 km (554 mi),"Red, Green, White"
16,Belgium,https://en.wikipedia.org/wiki/Belgium,City of Brussels,Dutch French German,59% no religion 34% Christianity 31% Catholicism 3% other Christian 6% Islam 1% other,"30,689 km²",11.8 million,,,€ (EUR),UTC +1,1,+32,countries/Belgium_flag.png,countries/Belgium_anthem.mp3,,Europe,10.94,18.0,"1,385",4.0,France: 620 km (390 mi); Germany (6): 167 km (104 mi); Luxembourg: 148 km (92 mi); Netherlands (31): 450 km (280 mi),"Black, Red, Yellow"
17,Belize,https://en.wikipedia.org/wiki/Belize,Belmopan,English,61.9% Christianity 31.8% no religion 6.3% other,"22,966 km²","400,000",,,$ (BZD),UTC -6,0,+501,countries/Belize_flag.png,countries/Belize_anthem.ogg,,North America,5.85,56.0,516,2.0,Guatemala: 266 km (165 mi); Mexico: 250 km (160 mi),"Blue, Red, White"
18,Benin,https://en.wikipedia.org/wiki/Benin,Porto-Novo,List: Arabic English Aguna Aja Alada Fon Gbe Gen Gun Pherá Phla Tofin Tɔli Waci Berba Kabye Lama Lukpa Mbelime Mossi Nateni Ngangam Tammari Tem Waama Yom Kwa Chakosi Foodo Ede Ifè Mokole Yoruba Yoruboid Bariba Dendi Fula Hausa,52.2% Christianity 24.6% Islam 17.9% traditional faiths 5.2% no religion 0.1% other,"114,763 km²",13.8 million,,,(XOF),UTC +1,0,+229,countries/Benin_flag.png,countries/Benin_anthem.ogg,,Africa,1.39,103.0,"1,989",4.0,Burkina Faso: 306 km (190 mi); Niger: 266 km (165 mi); Nigeria: 773 km (480 mi); Togo: 644 km (400 mi),"Green, Red, Yellow"
19,Bhutan,https://en.wikipedia.org/wiki/Bhutan,Thimphu,Dzongkha,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"38,394 km²","800,000",,,(BTN) ₹,UTC +6,0,+975,countries/Bhutan_flag.png,,,Asia,0.0,156.0,"1,075",2.0,People's Republic of China: 470 km (290 mi); India: 605 km (376 mi),"Fulvous, Gold, White"
20,Bolivia,https://en.wikipedia.org/wiki/Bolivia,Sucre,Spanish Quechua Aymara Guarani Other indigenous languages,Christianity Roman Catholicism Mennonitism Methodism Mormonism Other Protestant Folk Religion Ekeko Pachamama Tiw Anchanchu El Tío Islam Judaism,"1,098,581 km²",11.4 million,,,(BOB),UTC -4,0,+591,countries/Bolivia_flag.png,countries/Bolivia_anthem.ogg,35.0,South America,3.35,77.0,"6,743",5.0,"Argentina: 832 km (517 mi); Brazil: 3,400 km (2,100 mi); Chile: 861 km (535 mi); Paraguay: 750 km (470 mi); Peru: 900 km (560 mi)","Red, Green, Yellow"
21,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,Sarajevo,bosnian,51.3% Islam 46.1% Christianity 30.7% Eastern Orthodox 15.4% Catholicism 2.60% Others,"51,209 km²",2.9 million,,,(BAM),UTC +1,1,+387,countries/Bosnia_and_Herzegovina_flag.png,,,Europe,8.25,37.0,"1,459",3.0,Croatia (2): 932 km (579 mi); Montenegro: 225 km (140 mi); Serbia (2): 302 km (188 mi),
22,Botswana,https://en.wikipedia.org/wiki/Botswana,Gaborone,Tswana,79.1% Christianity 70.2% Protestantism 8.9% other Christian 15.2% no religion 4.1% Badimo 1.4% others  0.3% unspecified,"581,730 km²",2.4 million,,,(BWP),UTC +2,0,+267,countries/Botswana_flag.png,countries/Botswana_anthem.ogg,,Africa,2.68,80.0,"4,015",4.0,"Namibia: 1,360 km (850 mi); South Africa: 1,840 km (1,140 mi); Zambia: 0.15 km (0.093 mi); Zimbabwe: 813 km (505 mi)","Light Blue, Black, White"
23,Brazil,https://en.wikipedia.org/wiki/Brazil,Brasília,Portuguese,Freedom of religion Baháʼí Buddhism Christianity Catholicism Armenian Catholic Maronite Melkite Ukrainian Catholic Eastern Orthodoxy Antiochian LDS Protestantism Islam Hinduism Judaism Syncretic Religions Candomblé Quimbanda Umbanda,"8,515,767 km²",213.4 million,,,R$ (BRL),UTC -2 to -5,0,+55,countries/Brazil_flag.png,countries/Brazil_anthem.mp3,24.0,South America,5.57,60.0,"14,691",10.0,"Argentina: 1,224 km (761 mi); Bolivia: 3,400 km (2,100 mi); Colombia: 1,643 km (1,021 mi); French Guiana (France): 673 km (418 mi); Guyana: 1,119 km (695 mi); Paraguay: 1,290 km (800 mi); Peru: 2,995 km (1,861 mi); Suriname: 597 km (371 mi); Uruguay: 985 km (612 mi); Venezuela: 2,200 km (1,400 mi)","Green, Blue, Gold"
24,Brunei,https://en.wikipedia.org/wiki/Brunei,Bandar Seri Begawan,Malay,80.7% Sunni Islam ( official ) 10.7% Christianity 7.8% Buddhism 0.8% other (includes Indigenous beliefs ),"5,765 km²","500,000",,,(BND),UTC +8,0,+673,countries/Brunei_flag.png,countries/Brunei_anthem.oga,,Asia,0.75,120.0,381,1.0,Malaysia (2): 381 km (237 mi),
25,Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,Sofia,Bulgarian,64.7% Christianity 62.7% Bulgarian Orthodoxy 2.0% other Christian 15.9% no religion 9.8% Islam 0.1% other 9.5% unanswered,"110,993.6 km²",6.4 million,,,€ (EUR),UTC +2,1,+359,countries/Bulgaria_flag.png,countries/Bulgaria_anthem.ogg,,Europe,9.52,27.0,"1,808",5.0,Greece: 494 km (307 mi); North Macedonia: 148 km (92 mi); Romania: 608 km (378 mi); Serbia: 318 km (198 mi); Turkey: 240 km (150 mi),"White, Green, Red"
26,Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,Ouagadougou,"Mooré , Dyula and Fula , alongside any other languages so recognized by law",63.8% Islam 26.3% Christianity 20.1% Catholicism 6.2% Protestantism 9% Animism 0.7% irreligion,"274,223 km²",22.5 million,,,(XOF),UTC ±0,0,+226,countries/Burkina_Faso_flag.png,countries/Burkina_Faso_anthem.oga,,Africa,0.45,132.0,"3,193",6.0,"Benin: 306 km (190 mi); Côte d'Ivoire: 584 km (363 mi); Ghana: 549 km (341 mi); Mali: 1,000 km (620 mi); Niger: 628 km (390 mi); Togo: 126 km (78 mi)","Red, Green, Yellow"
27,Burundi,https://en.wikipedia.org/wiki/Burundi,Gitega,Kirundi,93.4% Christianity 63.7% Catholicism 25.2% Protestantism 4.5% other Christian 4.3% traditional faiths 2.1% Islam 0.2% other / none,"27,834 km²",14.2 million,,,(FBu) (BIF),UTC +2,0,+257,countries/Burundi_flag.png,countries/Burundi_anthem.ogg,,Africa,1.17,109.0,974,3.0,Democratic Republic of the Congo: 233 km (145 mi); Rwanda: 290 km (180 mi); Tanzania: 451 km (280 mi),"Red, Green, White"
28,Cambodia,https://en.wikipedia.org/wiki/Cambodia,Phnom Penh,Khmer,96.5% Buddhism ( official )  2.6% Islam 0.3% Christianity 0.5% others,"181,035 km²",17.6 million,,,៛ KHR ; de jure and de facto $ USD ; de facto,UTC +7,0,+855,countries/Cambodia_flag.png,countries/Cambodia_anthem.mp3,13.0,Asia,0.34,137.0,"2,572",3.0,"Laos: 541 km (336 mi); Thailand: 803 km (499 mi); Vietnam: 1,228 km (763 mi)","Red, Blue, White"
29,Cameroon,https://en.wikipedia.org/wiki/Cameroon,Yaoundé,French • English,66.3% Christianity 30.6% Islam 1.3% traditional faiths 1.1% no religion 0.7% others,"475,442 km²",31 million,,,(XAF),UTC +1,0,+237,countries/Cameroon_flag.png,countries/Cameroon_anthem.ogg,,Africa,1.58,99.0,"4,591",6.0,"Central African Republic: 797 km (495 mi); Chad: 1,094 km (680 mi); Republic of the Congo: 523 km (325 mi); Equatorial Guinea: 189 km (117 mi); Gabon: 298 km (185 mi); Nigeria: 1,690 km (1,050 mi)","Red, Green, Yellow"
30,Canada,https://en.wikipedia.org/wiki/Canada,Ottawa,English French,Christianity,"9,093,507 km²",41.6 million,,,$ (CAD),UTC -3.5 to -8,1,+1,countries/Canada_flag.png,countries/Canada_anthem.ogg,31.0,North America,7.52,46.0,"8,894",2.0,"United States (4): 8,893 km (5,526 mi); Greenland (Denmark): 1.2 km (0.75 mi)","Red, White"
31,Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,Praia,Cape Verdean Creole,81.7% Christianity 72.5% Catholicism 9.2% other Christian 15.6% no religion 1.3% Islam 1.2% others,"4,033 km²","500,000",,,(CVE),UTC -1,0,+238,countries/Cape_Verde_flag.png,countries/Cape_Verde_anthem.ogg,,Africa,3.86,74.0,0,0.0,,
32,Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,Bangui,Sango,73.2% Christianity 13.9% Islam 12.0% traditional faiths 0.9% other / none,"622,984 km²",5.7 million,,,(XAF),UTC +1,0,+236,countries/Central_African_Republic_flag.png,countries/Central_African_Republic_anthem.ogg,,Africa,0.7,122.0,"5,213",6.0,"Cameroon: 797 km (495 mi); Chad: 1,197 km (744 mi); Democratic Republic of the Congo: 1,577 km (980 mi); Republic of the Congo: 467 km (290 mi); South Sudan: 682 km (424 mi); Sudan: 483 km (300 mi)","Blue, Green, Red, White, Yellow"
33,Chad,https://en.wikipedia.org/wiki/Chad,N'Djamena,Arabic French,55.1% Islam 41.1% Christianity 2.4% no religion 1.3% Animism 0.1% others,"1,280,000 km²",19.1 million,,,(XAF),UTC +1,0,+235,countries/Chad_flag.png,countries/Chad_anthem.mp3,,Africa,0.23,140.0,"5,968",6.0,"Cameroon: 1,094 km (680 mi); Central African Republic: 1,197 km (744 mi); Libya: 1,055 km (656 mi); Niger: 1,175 km (730 mi); Nigeria: 87 km (54 mi); Sudan: 1,360 km (850 mi)","Blue, Red, Yellow"
34,Chile,https://en.wikipedia.org/wiki/Chile,Santiago,Spanish,70% Christianity 54% Catholicism 16% Protestantism 26% no religion 4% other,"756,101.96 km²",19.6 million,,,(CLP),"UTC -3, -4, -6",1,+56,countries/Chile_flag.png,countries/Chile_anthem.ogg,,South America,7.06,47.0,"6,171",3.0,"Argentina (2): 5,300 km (3,300 mi); Bolivia: 861 km (535 mi); Peru: 160 km (99 mi)","Red, Blue, White"
35,China,https://en.wikipedia.org/wiki/China,Beijing,Standard Chinese (de facto),Buddhism Chinese Buddhism Tibetan Buddhism Confucianism Folk religion Christianity Catholic Church in China Protestantism Freedom of religion History of religion Irreligion Islam Taoism,"9,596,961 km²",1404.9 million,,,元/¥ (CNY),UTC +8,0,+86 (Mainland) +852 (Hong Kong) +853 (Macau),countries/China_flag.png,countries/China_anthem.ogg,1.0,Asia,5.39,62.0,,,,"Red, Gold"
36,Colombia,https://en.wikipedia.org/wiki/Colombia,Bogotá,Spanish,70% Catholicism 17% other Christian 11% no religion 1.9% other,"1,141,748 km²",52.7 million,,,(COP),UTC -5,0,+57,countries/Colombia_flag.png,countries/Colombia_anthem.ogg,,South America,6.41,52.0,"6,004",5.0,"Brazil: 1,643 km (1,021 mi); Ecuador: 590 km (370 mi); Panama: 225 km (140 mi); Peru: 1,496 km (930 mi); Venezuela: 2,050 km (1,270 mi)","Yellow, Blue, Red"
37,Comoros,https://en.wikipedia.org/wiki/Comoros,Moroni,Comorian French Arabic,Islam,"2,035 km²","900,000",,,(KMF),UTC +3,0,+269,countries/Comoros_flag.png,countries/Comoros_anthem.oga,,Africa,0.0,153.0,0,0.0,,"Yellow, Blue, Green, Red, White"
38,Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,San José,Spanish,72.6% Christianity 47.5% Catholicism ( official )  22.5% Protestantism 2.6% other Christian 27.0% no religion 0.4% others,"51,179.92 km²",5.2 million,,,(CRC),UTC -6,0,+506,countries/Costa_Rica_flag.png,countries/Costa_Rica_anthem.ogg,,North America,5.72,58.0,639,2.0,Nicaragua: 309 km (192 mi); Panama: 330 km (210 mi),"Blue, Red, White"
39,Croatia,https://en.wikipedia.org/wiki/Croatia,Zagreb,Croatian,87.4% Christianity 79.0% Catholicism 3.3% Orthodoxy 5.1% other Christian 6.4% no religion 1.3% Islam 1.9% other 3.9% undeclared,"56,561 km²",3.9 million,,,€ (EUR),UTC +1,1,+385,countries/Croatia_flag.png,countries/Croatia_anthem.ogg,56.0,Europe,11.75,13.0,"2,197",5.0,Bosnia and Herzegovina (2): 932 km (579 mi); Hungary: 329 km (204 mi); Montenegro: 25 km (16 mi); Serbia: 241 km (150 mi); Slovenia: 670 km (420 mi),"Red, Blue, White"
40,Cuba,https://en.wikipedia.org/wiki/Cuba,Havana,Spanish,58.9% Christianity 23.2% no religion 17.6% folk religions 0.3% other,"110,860 km²",9.7 million,,,(CUP),UTC -5,1,+53,countries/Cuba_flag.png,countries/Cuba_anthem.mp3,,North America,3.53,76.0,0,0.0,United States: 29 km (18 mi),"Blue, Red, White"
41,Cyprus,https://en.wikipedia.org/wiki/Cyprus,Nicosia,Greek Turkish,72.3% Christianity 25.0% Islam 1.9% no religion 0.8% other,"9,251 km²","900,000",,,€ (EUR),UTC +2,1,+357,countries/Cyprus_flag.png,countries/Cyprus_anthem.oga,,Europe,10.0,21.0,152,1.0,Akrotiri and Dhekelia (United Kingdom) (6): 152 km (94 mi),"Olive Green, Orange, White"
42,Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,Prague,Czech,56.9% no religion 11.7% Christianity 9.3% Catholicism 2.4% other Christian 1.2% other 30.1% unanswered,"78,871 km²",10.9 million,,,(CZK),UTC +1,1,+420,countries/Czech_Republic_flag.png,countries/Czech_Republic_anthem.ogg,,,14.35,3.0,"1,881",4.0,Austria: 362 km (225 mi); Germany: 815 km (506 mi); Poland: 658 km (409 mi); Slovakia: 215 km (134 mi),"Blue, Red, White"
43,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,Kinshasa,Kikongo ya leta  Lingala Swahili Luba-Kasai,95.4% Christianity 2.6% traditional faiths 1.5% Islam 0.5% others / none,"2,345,409 km²",124.4 million,,,(CDF),UTC +1 to +2,0,+243,countries/Democratic_Republic_of_the_Congo_flag.png,countries/Democratic_Republic_of_the_Congo_anthem.mp3,,,0.21,142.0,"10,730",9.0,"Angola (2): 2,511 km (1,560 mi); Burundi: 233 km (145 mi); Central African Republic: 1,577 km (980 mi); Republic of the Congo: 2,410 km (1,500 mi); Rwanda: 217 km (135 mi); South Sudan: 628 km (390 mi); Tanzania: 459 km (285 mi); Uganda: 765 km (475 mi); Zambia: 1,930 km (1,200 mi)","Blue, Red, Yellow"
44,Denmark,https://en.wikipedia.org/wiki/Denmark,Copenhagen,Danish,71.4% Lutheranism ( official )  4.3% Islam 24.3% Other / none,"43,094 km²",6 million,,,,UTC +1,1,+45,countries/Denmark_flag.png,countries/Denmark_anthem.mp3,55.0,Europe,12.15,10.0,68,1.0,Germany: 68 km (42 mi),"Red, White"
45,Djibouti,https://en.wikipedia.org/wiki/Djibouti,Djibouti City,Somali Afar,94% Islam ( official ) 87% Sunni 8% Non-denominational 2% Shia 3% Other  6% Christianity,"23,200 km²",1.1 million,,,(DJF),UTC +3,0,+253,countries/Djibouti_flag.png,countries/Djibouti_anthem.mp3,,Africa,0.47,130.0,528,3.0,Eritrea: 125 km (78 mi); Ethiopia: 342 km (213 mi); Somaliland: 61 km (38 mi),"Light Blue, Green, Red, White"
46,Dominica,https://en.wikipedia.org/wiki/Dominica,Roseau,English,94.4% Christianity 3.0% folk religions 1.7% other 0.9% none,750 km²,"72,000",,,(XCD),UTC -4,0,+1,countries/Dominica_flag.png,countries/Dominica_anthem.ogg,,North America,0.0,163.0,0,0.0,,"Green, Black, Red, White, Yellow"
47,Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic,Santo Domingo,Spanish,74.6% Christianity 52.5% Catholicism 21.0% Protestantism 1.1% other Christian 22.0% no religion 1.4% other 2.0% unspecified,"48,671 km²",11.5 million,,,(DOP),UTC -4,0,+1,countries/Dominican_Republic_flag.png,countries/Dominican_Republic_anthem.ogg,,North America,5.9,55.0,360,1.0,Haiti: 360 km (220 mi),"Blue, Red, White"
48,Ecuador,https://en.wikipedia.org/wiki/Ecuador,Quito,Spanish,89.3% Christianity 68.2% Catholic 18% Evangelical 3.1% other 8.9% no religion 2% other,"283,561 km²",17.5 million,,,(USD),UTC -5 / -6,0,+593,countries/Ecuador_flag.png,countries/Ecuador_anthem.ogg,41.0,South America,1.66,96.0,"2,010",2.0,"Colombia: 590 km (370 mi); Peru: 1,420 km (880 mi)","Yellow, Blue, Red"
49,Egypt,https://en.wikipedia.org/wiki/Egypt,Cairo,Egyptian Arabic,See Religion in Egypt,"1,010,408 km²",107.9 million,,,LE/E£/£E (EGP),UTC +2,1,+20,countries/Egypt_flag.png,countries/Egypt_anthem.ogg,17.0,Africa,0.53,129.0,"2,665",4.0,"Gaza Strip (State of Palestine): 11 km (6.8 mi); Israel: 266 km (165 mi); Libya: 1,115 km (693 mi); Sudan: 1,273 km (791 mi)","Black, Gold, Red, White"
50,El Salvador,https://en.wikipedia.org/wiki/El_Salvador,San Salvador,Spanish,81.5% Christianity 42.2% Catholicism 36.6% Protestantism 2.7% other Christian 17% no religion 1.5% other,"21,041 km²",6 million,,,"USD ; since 2001 no longer in circulation, still legal",UTC -6,0,+503,countries/El_Salvador_flag.png,countries/El_Salvador_anthem.mp3,,North America,2.54,83.0,545,2.0,Guatemala: 203 km (126 mi); Honduras: 342 km (213 mi),"Blue, Gold, White"
51,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,Ciudad de la Paz,Spanish French  Portuguese,88.7% Christianity 5.0% no religion 4.0% Islam 1.7% traditional faiths 0.6% others,"28,050 km²",1.8 million,,,(XAF),UTC +1,0,+240,countries/Equatorial_Guinea_flag.png,countries/Equatorial_Guinea_anthem.mp3,58.0,Africa,0.0,190.0,539,2.0,Cameroon: 189 km (117 mi); Gabon: 350 km (220 mi),"Green, Blue, Red, White"
52,Eritrea,https://en.wikipedia.org/wiki/Eritrea,Asmara,List Tigrinya Tigre Kunama Saho Afar Bilen Nara Beja Arabic,See Religion in Eritrea,"120,000 km²",3.5 million,,,(ERN),UTC +3,0,+291,countries/Eritrea_flag.png,countries/Eritrea_anthem.ogg,,Africa,0.95,116.0,"1,626",3.0,Djibouti: 125 km (78 mi); Ethiopia: 912 km (567 mi); Sudan: 605 km (376 mi),"Green, Blue, Red, Yellow"
53,Estonia,https://en.wikipedia.org/wiki/Estonia,Tallinn,Estonian,58.4% irreligion 26.7% Christianity 16.3% Eastern Orthodoxy 7.7% Lutheranism 2.7% other Christian 12.7% undeclared 2.1% other,"45,335 km²",1.4 million,,,€ (EUR),UTC +2,1,+372,countries/Estonia_flag.png,countries/Estonia_anthem.ogg,,Europe,8.07,41.0,633,2.0,Latvia: 339 km (211 mi); Russia: 294 km (183 mi),"Blue, Black, White"
54,Eswatini,https://en.wikipedia.org/wiki/Eswatini,Mbabane (executive) Lobamba (legislative),Swazi English,89.3% Christianity 84.2% Protestantism 3.7% Roman Catholic 1.4% other Christian 7.4% no religion 2.5% traditional faiths 0.8% others,"17,364 km²",1.2 million,,,(SZL) (ZAR),UTC +2,0,+268,countries/Eswatini_flag.png,countries/Eswatini_anthem.ogg,,Africa,1.18,107.0,535,2.0,Mozambique: 105 km (65 mi); South Africa: 430 km (270 mi),"Black, Blue, Red, White, Yellow"
55,Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,Addis Ababa,Afar Amharic Oromo Somali Tigrinya,67.3% Christianity 43.8% Ethiopian Orthodoxy 22.8% P'ent'ay 0.7% other Christian 31.3% Islam 0.6% traditional faiths 0.8% others / none,"1,104,300 km²",135.5 million,,,(ETB),UTC +3,0,+251,countries/Ethiopia_flag.png,countries/Ethiopia_anthem.ogg,,Africa,1.02,112.0,"5,328",6.0,"Djibouti: 342 km (213 mi); Eritrea: 912 km (567 mi); Kenya: 861 km (535 mi); Somalia: 1,600 km (990 mi); South Sudan: 883 km (549 mi); Sudan: 723 km (449 mi)","Green, Blue, Red, Yellow"
